680,HL Road Frame - Black 58,2002-06-01,,1016.04,FR-R92B-58,1431.50
706,HL Road Frame - Red 58,2002-06-01,,1016.04,FR-R92R-58,1431.50
707,Sport-100 Helmet Red,2005-07-01,,,HL-U509-R,34.99
708,Sport-100 Helmet Black,2005-07-01,,,HL-U509,34.99
709,Mountain Bike Socks M,2005-07-01,,,SO-B909-M,9.50
710,Mountain Bike Socks L,2005-07-01,,,SO-B909-L,9.50
711,Sport-100 Helmet Blue,2005-07-01,,,HL-U509-B,34.99
712,AWC Logo Cap,2005-07-01,,,CA-1098,8.99
713,Long-Sleeve Logo Jersey S,2005-07-01,,,LJ-0192-S,49.99
714,Long-Sleeve Logo Jersey M,2005-07-01,,,LJ-0192-M,49.99
715,Long-Sleeve Logo Jersey L,2005-07-01,,,LJ-0192-L,49.99
716,Long-Sleeve Logo Jersey XL,2005-07-01,,,LJ-0192-X,49.99
717,HL Road Frame - Red 62,2005-07-01,,1043.26,FR-R92R-62,1431.50
718,HL Road Frame - Red 44,2005-07-01,,961.61,FR-R92R-44,1431.50
719,HL Road Frame - Red 48,2005-07-01,,979.75,FR-R92R-48,1431.50
720,HL Road Frame - Red 52,2005-07-01,,997.90,FR-R92R-52,1431.50
721,HL Road Frame - Red 56,2005-07-01,,1016.04,FR-R92R-56,1431.50
722,LL Road Frame - Black 58,2005-07-01,,1115.83,FR-R38B-58,337.22
723,LL Road Frame - Black 60,2005-07-01,,1124.90,FR-R38B-60,337.22
724,LL Road Frame - Black 62,2005-07-01,,1133.98,FR-R38B-62,337.22
725,LL Road Frame - Red 44,2005-07-01,,1052.33,FR-R38R-44,337.22
726,LL Road Frame - Red 48,2005-07-01,,1070.47,FR-R38R-48,337.22
727,LL Road Frame - Red 52,2005-07-01,,1088.62,FR-R38R-52,337.22
728,LL Road Frame - Red 58,2005-07-01,,1115.83,FR-R38R-58,337.22
729,LL Road Frame - Red 60,2005-07-01,,1124.90,FR-R38R-60,337.22
730,LL Road Frame - Red 62,2005-07-01,,1133.98,FR-R38R-62,337.22
731,ML Road Frame - Red 44,2005-07-01,,1006.97,FR-R72R-44,594.83
732,ML Road Frame - Red 48,2005-07-01,,1025.11,FR-R72R-48,594.83
733,ML Road Frame - Red 52,2005-07-01,,1043.26,FR-R72R-52,594.83
734,ML Road Frame - Red 58,2005-07-01,,1070.47,FR-R72R-58,594.83
735,ML Road Frame - Red 60,2005-07-01,,1079.54,FR-R72R-60,594.83
736,LL Road Frame - Black 44,2005-07-01,,1052.33,FR-R38B-44,337.22
737,LL Road Frame - Black 48,2005-07-01,,1070.47,FR-R38B-48,337.22
738,LL Road Frame - Black 52,2005-07-01,,1088.62,FR-R38B-52,337.22
739,HL Mountain Frame - Silver 42,2005-07-01,,1233.76,FR-M94S-42,1364.50
740,HL Mountain Frame - Silver 44,2005-07-01,,1251.91,FR-M94S-44,1364.50
741,HL Mountain Frame - Silver 48,2005-07-01,,1270.05,FR-M94S-52,1364.50
742,HL Mountain Frame - Silver 46,2005-07-01,,1288.20,FR-M94S-46,1364.50
743,HL Mountain Frame - Black 42,2005-07-01,,1233.76,FR-M94B-42,1349.60
744,HL Mountain Frame - Black 44,2005-07-01,,1251.91,FR-M94B-44,1349.60
745,HL Mountain Frame - Black 48,2005-07-01,,1270.05,FR-M94B-48,1349.60
746,HL Mountain Frame - Black 46,2005-07-01,,1288.20,FR-M94B-46,1349.60
747,HL Mountain Frame - Black 38,2005-07-01,,1215.62,FR-M94B-38,1349.60
748,HL Mountain Frame - Silver 38,2005-07-01,,1215.62,FR-M94S-38,1364.50
749,Road-150 Red 62,2005-07-01,,6803.85,BK-R93R-62,3578.27
750,Road-150 Red 44,2005-07-01,,6245.93,BK-R93R-44,3578.27
751,Road-150 Red 48,2005-07-01,,6409.23,BK-R93R-48,3578.27
752,Road-150 Red 52,2005-07-01,,6540.77,BK-R93R-52,3578.27
753,Road-150 Red 56,2005-07-01,,6658.70,BK-R93R-56,3578.27
754,Road-450 Red 58,2005-07-01,,8069.37,BK-R68R-58,1457.99
755,Road-450 Red 60,2005-07-01,,8119.26,BK-R68R-60,1457.99
756,Road-450 Red 44,2005-07-01,,7606.70,BK-R68R-44,1457.99
757,Road-450 Red 48,2005-07-01,,7770.00,BK-R68R-48,1457.99
758,Road-450 Red 52,2005-07-01,,7901.54,BK-R68R-52,1457.99
759,Road-650 Red 58,2005-07-01,,8976.55,BK-R50R-58,782.99
760,Road-650 Red 60,2005-07-01,,9026.44,BK-R50R-60,782.99
761,Road-650 Red 62,2005-07-01,,9071.80,BK-R50R-62,782.99
762,Road-650 Red 44,2005-07-01,,8513.88,BK-R50R-44,782.99
763,Road-650 Red 48,2005-07-01,,8677.18,BK-R50R-48,782.99
764,Road-650 Red 52,2005-07-01,,8808.72,BK-R50R-52,782.99
765,Road-650 Black 58,2005-07-01,,8976.55,BK-R50B-58,782.99
766,Road-650 Black 60,2005-07-01,,9026.44,BK-R50B-60,782.99
767,Road-650 Black 62,2005-07-01,,9071.80,BK-R50B-62,782.99
