ProductID,ProductName,Category,ListPrice
771,"Mountain-100 Silver, 38",Mountain Bikes,3399.9900
772,"Mountain-100 Silver, 42",Mountain Bikes,3399.9900
773,"Mountain-100 Silver, 44",Mountain Bikes,3399.9900
774,"Mountain-100 Silver, 48",Mountain Bikes,3399.9900
775,"Mountain-100 Black, 38",Mountain Bikes,3374.9900
776,"Mountain-100 Black, 42",Mountain Bikes,3374.9900
777,"Mountain-100 Black, 44",Mountain Bikes,3374.9900
778,"Mountain-100 Black, 48",Mountain Bikes,3374.9900
779,"Mountain-200 Silver, 38",Mountain Bikes,2319.9900
780,"Mountain-200 Silver, 42",Mountain Bikes,2319.9900
781,"Mountain-200 Silver, 46",Mountain Bikes,2319.9900
782,"Mountain-200 Black, 38",Mountain Bikes,2294.9900
783,"Mountain-200 Black, 42",Mountain Bikes,2294.9900
784,"Mountain-200 Black, 46",Mountain Bikes,2294.9900
785,"Mountain-300 Black, 38",Mountain Bikes,1079.9900
786,"Mountain-300 Black, 40",Mountain Bikes,1079.9900
787,"Mountain-300 Black, 44",Mountain Bikes,1079.9900
788,"Mountain-300 Black, 48",Mountain Bikes,1079.9900
980,"Mountain-400-W Silver, 38",Mountain Bikes,769.4900
981,"Mountain-400-W Silver, 40",Mountain Bikes,769.4900
982,"Mountain-400-W Silver, 42",Mountain Bikes,769.4900
983,"Mountain-400-W Silver, 46",Mountain Bikes,769.4900
984,"Mountain-500 Silver, 40",Mountain Bikes,564.9900
985,"Mountain-500 Silver, 42",Mountain Bikes,564.9900
986,"Mountain-500 Silver, 44",Mountain Bikes,564.9900
987,"Mountain-500 Silver, 48",Mountain Bikes,564.9900
988,"Mountain-500 Silver, 52",Mountain Bikes,564.9900
989,"Mountain-500 Black, 40",Mountain Bikes,539.9900
990,"Mountain-500 Black, 42",Mountain Bikes,539.9900
991,"Mountain-500 Black, 44",Mountain Bikes,539.9900
992,"Mountain-500 Black, 48",Mountain Bikes,539.9900
993,"Mountain-500 Black, 52",Mountain Bikes,539.9900
973,"Road-350-W Yellow, 40",Road Bikes,1700.9900
974,"Road-350-W Yellow, 42",Road Bikes,1700.9900
975,"Road-350-W Yellow, 44",Road Bikes,1700.9900
976,"Road-350-W Yellow, 48",Road Bikes,1700.9900
977,"Road-750 Black, 58",Road Bikes,539.9900
997,"Road-750 Black, 44",Road Bikes,539.9900
998,"Road-750 Black, 48",Road Bikes,539.9900
999,"Road-750 Black, 52",Road Bikes,539.9900
789,"Road-250 Red, 44",Road Bikes,2443.3500
790,"Road-250 Red, 48",Road Bikes,2443.3500
791,"Road-250 Red, 52",Road Bikes,2443.3500
792,"Road-250 Red, 58",Road Bikes,2443.3500
793,"Road-250 Black, 44",Road Bikes,2443.3500
794,"Road-250 Black, 48",Road Bikes,2443.3500
795,"Road-250 Black, 52",Road Bikes,2443.3500
796,"Road-250 Black, 58",Road Bikes,2443.3500
797,"Road-550-W Yellow, 38",Road Bikes,1120.4900
798,"Road-550-W Yellow, 40",Road Bikes,1120.4900
799,"Road-550-W Yellow, 42",Road Bikes,1120.4900
800,"Road-550-W Yellow, 44",Road Bikes,1120.4900
801,"Road-550-W Yellow, 48",Road Bikes,1120.4900
749,"Road-150 Red, 62",Road Bikes,3578.2700
750,"Road-150 Red, 44",Road Bikes,3578.2700
751,"Road-150 Red, 48",Road Bikes,3578.2700
752,"Road-150 Red, 52",Road Bikes,3578.2700
753,"Road-150 Red, 56",Road Bikes,3578.2700
754,"Road-450 Red, 58",Road Bikes,1457.9900
755,"Road-450 Red, 60",Road Bikes,1457.9900
756,"Road-450 Red, 44",Road Bikes,1457.9900
757,"Road-450 Red, 48",Road Bikes,1457.9900
758,"Road-450 Red, 52",Road Bikes,1457.9900
759,"Road-650 Red, 58",Road Bikes,782.9900
760,"Road-650 Red, 60",Road Bikes,782.9900
761,"Road-650 Red, 62",Road Bikes,782.9900
762,"Road-650 Red, 44",Road Bikes,782.9900
763,"Road-650 Red, 48",Road Bikes,782.9900
764,"Road-650 Red, 52",Road Bikes,782.9900
765,"Road-650 Black, 58",Road Bikes,782.9900
766,"Road-650 Black, 60",Road Bikes,782.9900
767,"Road-650 Black, 62",Road Bikes,782.9900
768,"Road-650 Black, 44",Road Bikes,782.9900
769,"Road-650 Black, 48",Road Bikes,782.9900
770,"Road-650 Black, 52",Road Bikes,782.9900
978,"Touring-3000 Blue, 44",Touring Bikes,742.3500
979,"Touring-3000 Blue, 50",Touring Bikes,742.3500
953,"Touring-2000 Blue, 60",Touring Bikes,1214.8500
954,"Touring-1000 Yellow, 46",Touring Bikes,2384.0700
955,"Touring-1000 Yellow, 50",Touring Bikes,2384.0700
956,"Touring-1000 Yellow, 54",Touring Bikes,2384.0700
957,"Touring-1000 Yellow, 60",Touring Bikes,2384.0700
958,"Touring-3000 Blue, 54",Touring Bikes,742.3500
959,"Touring-3000 Blue, 58",Touring Bikes,742.3500
960,"Touring-3000 Blue, 62",Touring Bikes,742.3500
961,"Touring-3000 Yellow, 44",Touring Bikes,742.3500
962,"Touring-3000 Yellow, 50",Touring Bikes,742.3500
963,"Touring-3000 Yellow, 54",Touring Bikes,742.3500
964,"Touring-3000 Yellow, 58",Touring Bikes,742.3500
965,"Touring-3000 Yellow, 62",Touring Bikes,742.3500
966,"Touring-1000 Blue, 46",Touring Bikes,2384.0700
967,"Touring-1000 Blue, 50",Touring Bikes,2384.0700
968,"Touring-1000 Blue, 54",Touring Bikes,2384.0700
969,"Touring-1000 Blue, 60",Touring Bikes,2384.0700
970,"Touring-2000 Blue, 46",Touring Bikes,1214.8500
971,"Touring-2000 Blue, 50",Touring Bikes,1214.8500
972,"Touring-2000 Blue, 54",Touring Bikes,1214.8500
946,LL Touring Handlebars,Handlebars,46.0900
947,HL Touring Handlebars,Handlebars,91.5700
808,LL Mountain Handlebars,Handlebars,44.5400
809,ML Mountain Handlebars,Handlebars,61.9200
